,Detail_Short,Floor Size (in sqft),Last_Sold_Date,Last_Sold_Price,Locality,Lot_size,Number of Rooms,Postal_Code,Region,Street,Title,Type,Year_build
118,"41 Baldwin St , Pennington, NJ 08534-3303 is currently not for sale. The sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1986 and last sold on 1/10/2020 for $590,000. View more property details, sales history and Zestimate data on Zillow.","2,841",01/10/20,"$590,000",Pennington,0.55 Acres,,8534,NJ,39 Baldwin St,"41 Baldwin St, Pennington, NJ 08534 | Zillow",SingleFamily,1986
119,"28 Wash Cross Penn Rd , Pennington, NJ 08534 is currently not for sale. The 1,200 sq. ft. single-family home is a bed, bath property. This home was built in 1956 and last sold on 12/31/2019 for $251,800. View more property details, sales history and Zestimate data on Zillow.","1,732",12/31/19,"$251,800",Pennington,0.46 Acres,,8534,NJ,30 Wash Cross Penn Rd,"28 Wash Cross Penn Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1956
120,"30 W Delaware Ave , Pennington, NJ 08534-2201 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1843 and last sold on 12/31/2019 for $715,000. View more property details, sales history and Zestimate data on Zillow.","1,493",12/31/19,"$715,000",Pennington,"8,712 sqft",3.0,8534,NJ,7 Burd St,"30 W Delaware Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1843
121,"63 Lexington Dr , Pennington, NJ 08534-5169 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 2004 and last sold on 12/30/2019 for $470,000. View more property details, sales history and Zestimate data on Zillow.","2,591",12/30/19,"$470,000",Pennington,"6,534 sqft",,8534,NJ,61 Lexington Dr,"63 Lexington Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
122,"9 Rosedale Way , Pennington, NJ 08534-9740 is currently not for sale. The 5,001 sq. ft. single-family home is a 5 bed, 4.0 bath property. This home was built in 1996 and last sold on 12/30/2019 for $829,900. View more property details, sales history and Zestimate data on Zillow.","4,504",12/30/19,"$829,900",Pennington,1.97 Acres,5.0,8534,NJ,8 Rosedale Way,"9 Rosedale Way, Pennington, NJ 08534 | Zillow",Single Family Residence,1996
123,"9 Tucker Way # B, Pennington, NJ 08534-3114 is currently not for sale. The vacant lot last sold on 12/27/2019 for $174,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.","2,488",12/27/19,"$174,000",Pennington,,3.0,8534,NJ,14 Tucker Way,"9 Tucker Way #B, Pennington, NJ 08534 | Zillow",VacantLand,No Data
124,"Route 31 N , Pennington, NJ 08534 is currently not for sale. The vacant lot last sold on 12/27/2019 for $3,500,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.",,12/27/19,"$3,500,000",Hopewell Twp,,,8534,NJ,127 Route 31,"Route 31 N, Pennington, NJ 08534 | Zillow",VacantLand,No Data
125,"160 Penn Harbourton Rd , Pennington, NJ 08534 is currently not for sale. The vacant lot last sold on 12/27/2019 for $3,500,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.","1,662",12/27/19,"$3,500,000",Pennington,,,8534,NJ,158 Penn Harbourton Rd,"160 Penn Harbourton Rd, Pennington, NJ 08534 | Zillow",VacantLand,No Data
126,"5 Avalon Rd , Pennington, NJ 08534-5160 is currently not for sale. The 2,600 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1997 and last sold on 11/18/2019 for $540,000. View more property details, sales history and Zestimate data on Zillow.","2,464",11/18/19,"$540,000",Pennington,0.40 Acres,,8534,NJ,3 Avalon Rd,"5 Avalon Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1997
127,"106 Treymore Ct , Pennington, NJ 08534-1946 is currently not for sale. The 1,908 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 11/18/2019 for $342,000. View more property details, sales history and Zestimate data on Zillow.","1,908",11/18/19,"$342,000",Pennington,No Data,3.0,8534,NJ,104 Treymore Ct,"106 Treymore Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
128,"12 W Franklin Ave , Pennington, NJ 08534-2211 is currently not for sale. The 2,508 sq. ft. single-family home is a 4 bed, 2.0 bath property. This home was built in 1875 and last sold on 11/15/2019 for $301,000. View more property details, sales history and Zestimate data on Zillow.","2,476",11/15/19,"$301,000",Pennington,"6,098 sqft",4.0,8534,NJ,14 W Franklin Ave,"12 W Franklin Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1875
129,"5 Wyckoff Dr , Pennington, NJ 08534-5406 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1993 and last sold on 11/15/2019 for $625,000. View more property details, sales history and Zestimate data on Zillow.","2,462",11/15/19,"$625,000",Pennington,0.35 Acres,4.0,8534,NJ,3 Wyckoff Dr,"5 Wyckoff Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,1993
130,"134 Shrewsbury Ct , Pennington, NJ 08534-1910 is a townhouse listed for rent at $2,700/mo. The 1,904 sq. ft. townhouse is a 3 bed, 3.0 bath unit. Find 15 photos of the 134 Shrewsbury Ct townhouse on Zillow. View more property details, sales history and Zestimate data on Zillow.","1,904",,,Pennington,,3.0,8534,NJ,134 Shrewsbury Ct,"134 Shrewsbury Ct, Pennington, NJ 08534 | Zillow",Townhouse,
131,"12 Old Mill Rd , Pennington, NJ 08534-2127 is currently not for sale. The sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1965 and last sold on 11/13/2019 for $434,000. View more property details, sales history and Zestimate data on Zillow.",,11/13/19,"$434,000",Pennington,1.69 Acres,,8534,NJ,12 Old Mill Rd,"12 Old Mill Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1965
132,"125 Voorhees Ave , Pennington, NJ 08534-2738 is currently not for sale. The 1,344 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1920 and last sold on 11/12/2019 for $395,000. View more property details, sales history and Zestimate data on Zillow.","2,379",11/12/19,"$395,000",Pennington,0.32 Acres,,8534,NJ,123 Voorhees Ave,"125 Voorhees Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1920
133,"304 Pennington Harbourton Rd , Pennington, NJ 08534-4008 is currently not for sale. The sq. ft. single-family home is a 5 bed, 5.0 bath property. This home was built in 1949 and last sold on 11/8/2019 for $999,000. View more property details, sales history and Zestimate data on Zillow.",878,11/08/19,"$999,000",Pennington,10.58 Acres,2.0,8534,NJ,306 Pennington Harbourton Rd,"304 Pennington Harbourton Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1949
134,"108 Lewis Brook Rd , Pennington, NJ 08534-1911 is currently not for sale. The 2,667 sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 1969 and last sold on 11/8/2019 for $540,000. View more property details, sales history and Zestimate data on Zillow.","1,977",11/08/19,"$540,000",Pennington,0.56 Acres,,8534,NJ,106 Lewis Brook Rd,"108 Lewis Brook Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1969
135,"128 Coburn Rd , Pennington, NJ 08534-5142 is currently not for sale. The 1,828 sq. ft. townhouse is a 2 bed, 3.0 bath unit. This townhouse was built in 1997 and last sold on 9/27/2019 for $349,000. View more property details, sales history and Zestimate data on Zillow.","1,828",09/27/19,"$349,000",Pennington,No Data,2.0,8534,NJ,126 Coburn Rd,"128 Coburn Rd, Pennington, NJ 08534 | Zillow",Townhouse,1997
136,"101 Lewis Brook Rd , Pennington, NJ 08534-1909 is currently not for sale. The 2,632 sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1968 and last sold on 9/27/2019 for $560,000. View more property details, sales history and Zestimate data on Zillow.","2,088",09/27/19,"$560,000",Pennington,0.72 Acres,,8534,NJ,51 Eglantine Ave,"101 Lewis Brook Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1968
137,"707 Pebble Creek Ct , Pennington, NJ 08534-1954 is currently not for sale. The 1,908 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 9/27/2019 for $315,000. View more property details, sales history and Zestimate data on Zillow.","1,908",09/27/19,"$315,000",Pennington,No Data,,8534,NJ,509 Pebble Creek Ct,"707 Pebble Creek Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
138,"166 Coburn Rd , Pennington, NJ 08534-5144 is currently not for sale. The 1,828 sq. ft. townhouse is a 2 bed, 3.0 bath unit. This townhouse was built in 1997 and last sold on 9/26/2019 for $335,000. View more property details, sales history and Zestimate data on Zillow.","1,828",09/26/19,"$335,000",Pennington,No Data,2.0,8534,NJ,168 Coburn Rd,"166 Coburn Rd, Pennington, NJ 08534 | Zillow",Townhouse,1997
139,"127 W Franklin Ave , Pennington, NJ 08534-1406 is currently not for sale. The 2,309 sq. ft. single-family home is a 1 bed, 2.0 bath property. This home was built in 1895 and last sold on 9/26/2019 for $259,000. View more property details, sales history and Zestimate data on Zillow.","2,500",09/26/19,"$259,000",Pennington,0.52 Acres,4.0,8534,NJ,131 W Franklin Ave,"127 W Franklin Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1895
140,"8 Rosedale Way , Pennington, NJ 08534-9739 is currently not for sale. The 4,504 sq. ft. single-family home is a 5 bed, 5.0 bath property. This home was built in 2000 and last sold on 9/25/2019 for $845,000. View more property details, sales history and Zestimate data on Zillow.","5,001",09/25/19,"$845,000",Pennington,1.96 Acres,5.0,8534,NJ,9 Rosedale Way,"8 Rosedale Way, Pennington, NJ 08534 | Zillow",Single Family Residence,2000
141,"139 Coburn Rd , Pennington, NJ 08534-5145 is a townhouse unit listed for-sale at $400,000. The 1,828 sq. ft. townhouse is a 2 bed, 3.0 bath unit. Find 16 photos of the 139 Coburn Rd townhouse on Zillow. View more property details, sales history and Zestimate data on Zillow. MLS # NJME312784","1,828",,Sold,Pennington,No Data,2.0,8534,NJ,139 Coburn Rd,"139 Coburn Rd, Pennington, NJ 08534 | MLS #NJME312784 | Zillow",Townhouse,1997
142,"156 Shrewsbury Ct , Pennington, NJ 08534-5411 is currently not for sale. The 1,100 sq. ft. townhouse is a 2 bed, 2.0 bath unit. This townhouse was built in 1994 and last sold on 9/18/2019 for $84,646. View more property details, sales history and Zestimate data on Zillow.","1,100",09/18/19,"$84,646",Pennington,No Data,,8534,NJ,158 Shrewsbury Ct,"156 Shrewsbury Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
143,"275 Penn Harbourton Rd , Pennington, NJ 08534 is currently not for sale. The 1,608 sq. ft. single-family home is a bed, bath property. This home was built in 1958 and last sold on 9/17/2019 for $360,000. View more property details, sales history and Zestimate data on Zillow.","2,066",09/17/19,"$360,000",Pennington,0.78 Acres,,8534,NJ,273 Penn Harbourton Rd,"275 Penn Harbourton Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1958
144,"403 Burd St , Pennington, NJ 08534-2702 is currently not for sale. The 1,776 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1952 and last sold on 8/6/2019 for $480,000. View more property details, sales history and Zestimate data on Zillow.","2,496",08/06/19,"$480,000",Pennington,0.34 Acres,,8534,NJ,4 W Welling Ave,"403 Burd St, Pennington, NJ 08534 | Zillow",Single Family Residence,1952
145,"6 Fabian Pl , Pennington, NJ 08534-1087 is currently not for sale. The 2,424 sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 1997 and last sold on 8/6/2019 for $502,000. View more property details, sales history and Zestimate data on Zillow.","2,778",08/06/19,"$502,000",Pennington,"10,018 sqft",4.0,8534,NJ,8 Fabian Pl,"6 Fabian Pl, Pennington, NJ 08534 | Zillow",Single Family Residence,1997
146,"3 Cannon Dr , Pennington, NJ 08534-3115 is currently not for sale. The 2,330 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 2018 and last sold on 8/6/2019 for $438,522. View more property details, sales history and Zestimate data on Zillow.","2,490",08/06/19,"$438,522",Pennington,"2,091 sqft",,8534,NJ,24 Old Foundry Dr,"3 Cannon Dr, Pennington, NJ 08534 | Zillow",Townhouse,2018
147,"416 Burd St , Pennington, NJ 08534-2701 is currently not for sale. The 1,536 sq. ft. single-family home is a 4 bed, 2.0 bath property. This home was built in 1945 and last sold on 8/5/2019 for $415,000. View more property details, sales history and Zestimate data on Zillow.","2,348",08/05/19,"$415,000",Pennington,0.41 Acres,4.0,8534,NJ,418 Burd St,"416 Burd St, Pennington, NJ 08534 | Zillow",Single Family Residence,1945
148,"127 Newman Ct , Pennington, NJ 08534-5198 is currently not for sale. The 1,594 sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 2005 and last sold on 8/5/2019 for $369,900. View more property details, sales history and Zestimate data on Zillow.","2,312",08/05/19,"$369,900",Pennington,No Data,3.0,8534,NJ,125 Newman Ct,"127 Newman Ct, Pennington, NJ 08534 | Zillow",SingleFamily,2005
149,"108 Gentry Ct , Pennington, NJ 08534-5250 is currently not for sale. The 670 sq. ft. condo is a bed, bath unit. This condo was built in 1994 and last sold on 8/2/2019 for $71,297. View more property details, sales history and Zestimate data on Zillow.",670,08/02/19,"$71,297",Pennington,,1.0,8534,NJ,208 Gentry Ct,"108 Gentry Ct, Pennington, NJ 08534 | Zillow",Condo,1994
150,"24 Chicory Ln , Pennington, NJ 08534-5423 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1993 and last sold on 8/2/2019 for $625,000. View more property details, sales history and Zestimate data on Zillow.","2,462",08/02/19,"$625,000",Pennington,0.31 Acres,,8534,NJ,22 Chicory Ln,"24 Chicory Ln, Pennington, NJ 08534 | Zillow",Single Family Residence,1993
151,"212 N Main St , Pennington, NJ 08534-2222 is currently not for sale. The 2,385 sq. ft. single-family home is a 5 bed, 3.0 bath property. This home was built in 1924 and last sold on 8/2/2019 for $480,000. View more property details, sales history and Zestimate data on Zillow.","1,725",08/02/19,"$480,000",Pennington,0.40 Acres,,8534,NJ,210 N Main St,"212 N Main St, Pennington, NJ 08534 | Zillow",Single Family Residence,1924
152,"107 Weldon Way , Pennington, NJ 08534-1828 is currently not for sale. The 2,344 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1973 and last sold on 8/1/2019 for $510,000. View more property details, sales history and Zestimate data on Zillow.","2,800",08/01/19,"$510,000",Pennington,0.72 Acres,4.0,8534,NJ,102 Drummond Dr,"107 Weldon Way, Pennington, NJ 08534 | Zillow",Detached,1973
153,"20 Academy Ct , Pennington, NJ 08534-2833 is currently not for sale. The 1,902 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1986 and last sold on 7/5/2019 for $281,000. View more property details, sales history and Zestimate data on Zillow.","1,152",07/05/19,"$281,000",Pennington,No Data,2.0,8534,NJ,19 Academy Ct,"20 Academy Ct, Pennington, NJ 08534 | Zillow",Townhouse,1986
154,"8 Academy Ct , Pennington, NJ 08534-2832 is currently not for sale. The 1,034 sq. ft. condo is a 1 bed, 1.0 bath unit. This condo was built in 1986 and last sold on 7/5/2019 for $215,000. View more property details, sales history and Zestimate data on Zillow.",819,07/05/19,"$215,000",Pennington,,,8534,NJ,10 Academy Ct,"8 Academy Ct, Pennington, NJ 08534 | Zillow",Condo,1986
155,"42 Brewster Ct , Pennington, NJ 08534-1068 is currently not for sale. The 1,409 sq. ft. single-family home is a 2 bed, 2.0 bath property. This home was built in 1998 and last sold on 7/3/2019 for $305,000. View more property details, sales history and Zestimate data on Zillow.","2,094",07/03/19,"$305,000",Pennington,"7,405 sqft",,8534,NJ,44 Brewster Ct,"42 Brewster Ct, Pennington, NJ 08534 | Zillow",SingleFamily,1998
156,"2 Voorhees Way , Pennington, NJ 08534-4313 is currently not for sale. The 4,432 sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 1998 and last sold on 7/2/2019 for $640,000. View more property details, sales history and Zestimate data on Zillow.","3,782",07/02/19,"$640,000",Pennington,1.93 Acres,4.0,8534,NJ,4 Voorhees Way,"2 Voorhees Way, Pennington, NJ 08534 | Zillow",SingleFamily,1998
157,"14 Penn Lawrenceville Rd , Pennington, NJ 08534 is currently not for sale. The 2,128 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1963 and last sold on 7/2/2019 for $425,000. View more property details, sales history and Zestimate data on Zillow.",,07/02/19,"$425,000",Pennington,0.79 Acres,,8534,NJ,14 Pennington Lawrenceville Rd,"14 Penn Lawrenceville Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1963
158,"2 Pine Tavern Ct , Pennington, NJ 08534-2516 is currently not for sale. The 3,616 sq. ft. single-family home is a 5 bed, 4.0 bath property. This home was built in 1997 and last sold on 7/2/2019 for $725,000. View more property details, sales history and Zestimate data on Zillow.","4,494",07/02/19,"$725,000",Pennington,2.15 Acres,,8534,NJ,7 Glenwood Dr,"2 Pine Tavern Ct, Pennington, NJ 08534 | Zillow",SingleFamily,1997
159,"Zillow has 0 photos of this $545000 0 bed, bath, sqft single family home located at 21 Brookside Ave built in 2004. MLS #.","1,616",07/01/19,"$545,000",Pennington,,,8534,NJ,5 Brookside Ave,"21 Brookside Ave, Pennington, NJ 08534 | Zillow",MultiFamily,2004
160,"Zillow has 0 photos of this $545000 bed, bath, sqft single family home located at 21 Brookside Ave built in. MLS #.",,07/01/19,"$545,000",Pennington,,1.0,8534,NJ,21 Brookside Ave #UNIT 2,"21 Brookside Ave, Pennington, NJ 08534 | Zillow",Unknown,No Data
161,"107 Jamieson Dr , Pennington, NJ 08534-1907 is currently not for sale. The 2,800 sq. ft. single-family home is a 5 bed, 3.0 bath property. This home was built in 1970 and last sold on 6/27/2019 for $600,000. View more property details, sales history and Zestimate data on Zillow.","2,560",06/27/19,"$600,000",Pennington,0.64 Acres,4.0,8534,NJ,100 Hessian Hill Dr,"107 Jamieson Dr, Pennington, NJ 08534 | Zillow",SingleFamily,1970
162,"901 Pebble Creek Ct , Pennington, NJ 08534-1948 is currently not for sale. The 2,052 sq. ft. condo is a 3 bed, 3.0 bath unit. This condo was built in 1994 and last sold on 5/24/2019 for $338,000. View more property details, sales history and Zestimate data on Zillow.","1,477",05/24/19,"$338,000",Pennington,,3.0,8534,NJ,903 Pebble Creek Ct,"901 Pebble Creek Ct, Pennington, NJ 08534 | Zillow",Condo,1994
163,"91 Knox Ct , Pennington, NJ 08534-5167 is currently not for sale. The 1,800 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 2003 and last sold on 5/21/2019 for $364,000. View more property details, sales history and Zestimate data on Zillow.","2,255",05/21/19,"$364,000",Pennington,No Data,4.0,8534,NJ,93 Knox Ct,"91 Knox Ct, Pennington, NJ 08534 | Zillow",Townhouse,2003
164,"3 Fitzcharles Dr , Pennington, NJ 08534 is currently not for sale. The 6,358 sq. ft. single-family home is a 5 bed, 5.0 bath property. This home was built in 1820 and last sold on 5/17/2019 for $775,000. View more property details, sales history and Zestimate data on Zillow.","3,472",05/17/19,"$775,000",Pennington,2.35 Acres,5.0,8534,NJ,4 Fitzcharles Dr,"3 Fitzcharles Dr, Pennington, NJ 08534 | Zillow",SingleFamily,1820
165,"641 Scotch Rd , Pennington, NJ 08534-4114 is currently not for sale. The 1,508 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1955 and last sold on 5/16/2019 for $337,500. View more property details, sales history and Zestimate data on Zillow.","1,773",05/16/19,"$337,500",Pennington,0.64 Acres,,8534,NJ,639 Scotch Rd,"641 Scotch Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1955
166,"129 E Delaware Ave , Pennington, NJ 08534-2304 is currently not for sale. The 3,616 sq. ft. single-family home is a 5 bed, 3.0 bath property. This home was built in 1929 and last sold on 5/16/2019 for $698,500. View more property details, sales history and Zestimate data on Zillow.","2,197",05/16/19,"$698,500",Pennington,0.52 Acres,,8534,NJ,131 E Delaware Ave,"129 E Delaware Ave, Pennington, NJ 08534 | Zillow",SingleFamily,1929
167,"17 Orchard Ave , Pennington, NJ 08534-5211 is currently not for sale. The 1,837 sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1961 and last sold on 5/16/2019 for $300,000. View more property details, sales history and Zestimate data on Zillow.","1,584",05/16/19,"$300,000",Pennington,0.84 Acres,4.0,8534,NJ,15 Orchard Ave,"17 Orchard Ave, Pennington, NJ 08534 | Zillow",SingleFamily,1961
168,"Zillow has 0 photos of this $507000 4 bed, 2.0 bath, 2400 sqft single family home located at 116-118 S Main St built in 1880. MLS #.",,05/15/19,"$507,000",Pennington,,2.0,8534,NJ,118 S Main St,"116-118 S Main St, Pennington, NJ 08534 | Zillow",MultiFamily,1880
169,"11 Academy Ct , Pennington, NJ 08534-2832 is currently not for sale. The 704 sq. ft. condo is a 1 bed, 1.0 bath unit. This condo was built in 1986 and last sold on 5/13/2019 for $197,000. View more property details, sales history and Zestimate data on Zillow.",810,05/13/19,"$197,000",Pennington,,,8534,NJ,9 Academy Ct,"11 Academy Ct, Pennington, NJ 08534 | Zillow",Condo,1986
170,"709 Deer Run Ct , Pennington, NJ 08534-5233 is currently not for sale. The 2,394 sq. ft. townhouse is a 3 bed, 2.5 bath unit. This townhouse was built in 1994 and last sold on 5/11/2019 for $99,000. View more property details, sales history and Zestimate data on Zillow.","1,908",05/11/19,"$99,000",Pennington,No Data,3.0,8534,NJ,707 Deer Run Ct,"709 Deer Run Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
171,"3 Park Ave , Pennington, NJ 08534-2314 is currently not for sale. The 1,656 sq. ft. single-family home is a 3 bed, 1.0 bath property. This home was built in 1950 and last sold on 4/3/2019 for $399,000. View more property details, sales history and Zestimate data on Zillow.","1,752",04/03/19,"$399,000",Pennington,0.35 Acres,,8534,NJ,5 Park Ave,"3 Park Ave, Pennington, NJ 08534 | Zillow",SingleFamily,1950
172,"86 Federal City Rd , Trenton, NJ 08648-1506 is currently not for sale. The vacant lot last sold on 4/3/2019 for $302,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.","2,071",04/03/19,"$302,000",Lawrence Township,,3.0,8648,NJ,86 Federal City Rd,"86 Federal City Rd, Trenton, NJ 08648 | Zillow",VacantLand,No Data
173,"16 Elm Ridge Rd , Pennington, NJ 08534-3003 is currently not for sale. The 2,416 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1950 and last sold on 4/1/2019 for $610,000. View more property details, sales history and Zestimate data on Zillow.",,04/01/19,"$610,000",Pennington,14 Acres,,8534,NJ,18 Elm Ridge Rd,"16 Elm Ridge Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1950
174,"423 S Main St , Pennington, NJ 08534-2716 is currently not for sale. The 1,982 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1927 and last sold on 3/28/2019 for $470,000. View more property details, sales history and Zestimate data on Zillow.",,03/28/19,"$470,000",Pennington,0.85 Acres,4.0,8534,NJ,421 S Main St,"423 S Main St, Pennington, NJ 08534 | Zillow",SingleFamily,1927
175,"206 Lansdowne Ct , Pennington, NJ 08534-5239 is currently not for sale. The 1,080 sq. ft. condo is a bed, bath unit. This condo was built in 1994 and last sold on 3/27/2019 for $153,000. View more property details, sales history and Zestimate data on Zillow.","1,080",03/27/19,"$153,000",Pennington,,,8534,NJ,106 Lansdowne Ct,"206 Lansdowne Ct, Pennington, NJ 08534 | Zillow",Condo,1994
176,"231 Concord Pl , Pennington, NJ 08534-5264 is currently not for sale. The 1,960 sq. ft. condo is a 3 bed, 3.0 bath unit. This condo was built in 2006 and last sold on 3/27/2019 for $366,000. View more property details, sales history and Zestimate data on Zillow.","1,960",03/27/19,"$366,000",Pennington,,3.0,8534,NJ,229 Concord Pl,"231 Concord Pl, Pennington, NJ 08534 | Zillow",Condo,2006
177,"13 Chadwell Ct , Pennington, NJ 08534-2326 is currently not for sale. The 2,836 sq. ft. single-family home is a 4 bed, 2.5 bath property. This home was built in 1988 and last sold on 3/26/2019 for $849,000. View more property details, sales history and Zestimate data on Zillow.","2,266",03/26/19,"$849,000",Pennington,0.59 Acres,,8534,NJ,15 Chadwell Ct,"13 Chadwell Ct, Pennington, NJ 08534 | Zillow",SingleFamily,1988
178,"254 Penn Harbourton Rd , Pennington, NJ 08534 is currently not for sale. The 1,148 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1947 and last sold on 3/25/2019 for $315,000. View more property details, sales history and Zestimate data on Zillow.",,03/25/19,"$315,000",Pennington,1.35 Acres,,8534,NJ,254 Pennington Harbourton Rd,"254 Penn Harbourton Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1947
179,"600 Bollen Ct , Pennington, NJ 08534-5242 is currently not for sale. The 2,052 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 3/22/2019 for $358,000. View more property details, sales history and Zestimate data on Zillow.","1,908",03/22/19,"$358,000",Pennington,No Data,3.0,8534,NJ,602 Bollen Ct,"600 Bollen Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
